t,x,y,z,vx,vy,vz,ox,oy,oz,wx,wy,wz
0.0,-0.31658864,0.18572876,0.80146194,0.7501201,-5.1648264,-2.3622694,7.2578597,-0.0032221219,-31.938623,1.3983898,-2.1974254,-0.24997082
0.0011686144,-0.31658354,0.18567899,0.8014565,0.75011456,-5.1647253,-2.3622584,7.256838,-0.0032244958,-31.937963,1.3982947,-2.1966658,-0.24995875
0.0023372287,-0.31657845,0.1856316,0.8014515,0.75010914,-5.164617,-2.362246,7.2558136,-0.0032269536,-31.9373,1.3982013,-2.195919,-0.24994765
0.0035058432,-0.31657347,0.18558049,0.8014464,0.7501037,-5.1645164,-2.362234,7.254801,-0.0032293142,-31.936659,1.3981068,-2.1951559,-0.24993552
0.0046744575,-0.31656837,0.18553299,0.80144167,0.75009865,-5.1644125,-2.3622234,7.253804,-0.0032317538,-31.936007,1.3980129,-2.1944084,-0.24992417
0.0058430717,-0.3165633,0.18548578,0.801437,0.75009286,-5.164306,-2.362212,7.252782,-0.003234036,-31.935377,1.3979185,-2.1936665,-0.24991323
0.0070116865,-0.31655833,0.18543914,0.8014319,0.7500879,-5.164204,-2.3622007,7.251802,-0.0032364242,-31.934727,1.3978237,-2.1929247,-0.24990238
0.008180301,-0.31655338,0.18539092,0.8014263,0.75008255,-5.164102,-2.362189,7.2508082,-0.0032387802,-31.934093,1.3977296,-2.1921744,-0.24989079
0.009348915,-0.31654856,0.18534246,0.8014222,0.75007755,-5.1640067,-2.3621783,7.2498255,-0.0032411425,-31.933458,1.3976357,-2.1914265,-0.24987923
0.010517529,-0.31654358,0.18529448,0.80141693,0.75007206,-5.1639104,-2.3621678,7.2488384,-0.0032433728,-31.932842,1.3975399,-2.1906815,-0.2498678
0.011686143,-0.31653875,0.18524778,0.8014117,0.75006694,-5.163813,-2.3621569,7.2478704,-0.003245791,-31.932209,1.3974448,-2.1899395,-0.24985677
0.012854758,-0.31653392,0.18519986,0.8014074,0.7500619,-5.16371,-2.3621457,7.246895,-0.0032480096,-31.931597,1.3973503,-2.1891983,-0.24984556
0.014023373,-0.3165291,0.18515408,0.80140275,0.7500567,-5.16361,-2.362134,7.2459326,-0.0032502282,-31.930977,1.3972558,-2.1884632,-0.24983454
